grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2412776,ITHACA,FALSE,❌ Terminated,Cornell University,NY,D,Standard Grant,500000,NA,NA,500000,545302.0134228187,-45302.01342281874
2412783,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Continuing Grant,549701,NA,NA,549701,567963.4916943521,-18262.491694352124
2413185,NEW YORK,,❌ Terminated,Research Foundation of the City University of New York,NY,D,Standard Grant,530002,530002,0,530002,0,530002
2413236,BERKELEY,FALSE,🔄 Possibly Reinstated,University of California-Berkeley,CA,D,Standard Grant,199995,199995,122508.14,199995,122508.14,77486.86
2414042,PULLMAN,TRUE,❌ Terminated,Washington State University,WA,D,Standard Grant,346910,306959,121704,346910,121704,225206
2414497,EAST GREENWICH,FALSE,🔄 Possibly Reinstated,Gordon Research Conferences,RI,D,Standard Grant,10000,10000,10000,10000,10000,0
2414503,RALEIGH,FALSE,❌ Terminated,North Carolina State University,NC,D,Standard Grant,503794,503794,20266.08,503794,20266.08,483527.92
2415333,CORONA,FALSE,❌ Terminated,New York Hall of Science,NY,D,Standard Grant,3218776,NA,NA,3269924,4044379.6842105263,-774455.6842105263
2415398,CHICAGO,FALSE,❌ Terminated,Loyola University of Chicago,IL,D,Standard Grant,733043,733043,0,733043,0,733043
2415399,CHICAGO,FALSE,❌ Terminated,Chicago Children's Museum,IL,D,Standard Grant,787042,787042,0,787042,0,787042
2415563,KINGSTON,FALSE,❌ Terminated,University of Rhode Island,RI,D,Standard Grant,149433,149433,37996.9,149433,37996.9,111436.1
2415575,VIENNA,FALSE,❌ Terminated,"Associated Universities, Inc.",VA,R,Continuing Grant,1672045,1117913,226020.89,1672045,226020.89,1446024.1099999999
2415686,GARDEN CITY,,❌ Terminated,LONG ISLAND CHILDREN'S MUSEUM,NY,D,Standard Grant,150000,NA,NA,179889,192262.31746031746,-12373.317460317456
2415767,MADISON,FALSE,❌ Terminated,University of Wisconsin-Madison,WI,D,Continuing Grant,1957470,1391175,86669.4,1957470,86669.4,1870800.6
2415812,VIENNA,FALSE,❌ Terminated,"Associated Universities, Inc.",VA,R,Continuing Grant,1708079,1223730,109437.37,1708079,109437.37,1598641.63
2415840,BROOKLYN,FALSE,❌ Terminated,Pratt Institute,NY,D,Standard Grant,1994610,1994610,163519.81,1994610,163519.81,1831090.19
2415857,SAINT LOUIS,FALSE,❌ Terminated,Donald Danforth Plant Science Center,MO,R,Standard Grant,149636,NA,NA,149636,166755.37288135593,-17119.37288135593
2415883,ANN ARBOR,FALSE,🔄 Possibly Reinstated,Regents of the University of Michigan - Ann Arbor,MI,D,Standard Grant,619404,619404,73023.4,619404,73023.4,546380.6
2415904,NORFOLK,FALSE,❌ Terminated,Old Dominion University Research Foundation,VA,R,Standard Grant,149403,149403,53981.84,149403,53981.84,95421.16
2415965,TEMPE,FALSE,❌ Terminated,Arizona State University,AZ,D,Standard Grant,1730730,1730730,72341.65,1730730,72341.65,1658388.35
2415989,NEVADA CITY,FALSE,❌ Terminated,Sierra Streams Institute,CA,D,Standard Grant,149588,NA,NA,149588,166701.88135593222,-17113.881355932215
2416022,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,31185,31185,0,31185,0,31185
